mesure;unite;moyenne;ecart_type;mediane;p95
zk_emissionJetonAS;ms;0.571;0.631;0.449;0.795
zk_assemblageTemoin;ms;47.174;5.176;46.32;54.562
zk_generationPreuve;ms;1749.331;264.674;1652.871;2079.948
zk_calculTemoinWasm;ms;130.159;21.03;121.969;172.497
zk_preuveGroth16Seule;ms;1619.172;256.919;1531.936;1916.303
zk_verificationHorsChaine;ms;38.217;28.27;26.963;100.292
zk_verificationSurChaine;ms;43.801;11.952;41.028;57.13
zk_latenceFluxLecture;ms;1840.307;271.245;1738.224;2237.47
zk_latenceFluxEcriture;ms;2045.864;276.168;1951.797;2383.846
zk_verificationPreuveSeule;gas;238785;0;238785;238785
zk_autorisationComplete;gas;348916.7;14.447;348923;348935
oauth_autorisation;ms;0.738;0.489;0.596;1.318
oauth_echangeJeton;ms;1.971;0.658;1.801;3.302
oauth_ressourceIntrospection;ms;2.1;4.655;1.463;3.113
oauth_ressourceJwt;ms;0.868;0.489;0.736;1.691
oauth_fluxTotalIntrospection;ms;4.809;4.858;4.003;7.566
oauth_fluxTotalJwt;ms;3.577;1.317;3.332;6.078
